date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:52	4571/4571	---M--	200	added ('OK')	image/svg+xml	etag:%2211db-5af06c39faec7%22	https://jthemes.net/themes/html/bolby/demo/images/service-2.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/service-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:23:53	7753/7753	---M--	200	added ('OK')	image/svg+xml	etag:%221e49-5af06c39accc8%22	https://jthemes.net/themes/html/bolby/demo/images/service-3.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/service-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:23:54	23435/23435	---M--	200	added ('OK')	image/svg+xml	etag:%225b8b-5af06c48bc424%22	https://jthemes.net/themes/html/bolby/demo/images/works/1.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/works/1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:23:55	8523/8523	---M--	200	added ('OK')	image/svg+xml	etag:%22214b-5af06c49b9302%22	https://jthemes.net/themes/html/bolby/demo/images/works/2.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/works/2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:23:56	21663/21663	---M--	200	added ('OK')	image/svg+xml	etag:%22549f-5af06c36cc78e%22	https://jthemes.net/themes/html/bolby/demo/images/single-work.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/single-work.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:23:57	29287/29287	---M--	200	added ('OK')	image/svg+xml	etag:%227267-5af06c48b4724%22	https://jthemes.net/themes/html/bolby/demo/images/works/3.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/works/3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:23:58	54755/54755	---M--	200	added ('OK')	image/svg+xml	etag:%22d5e3-5af06c4ae403f%22	https://jthemes.net/themes/html/bolby/demo/images/works/4.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/works/4.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:23:59	14589/14589	---M--	200	added ('OK')	image/svg+xml	etag:%2238fd-5af06c4ae403f%22	https://jthemes.net/themes/html/bolby/demo/images/works/5.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/works/5.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:00	17149/17149	---M--	200	added ('OK')	image/svg+xml	etag:%2242fd-5af06c49b8362%22	https://jthemes.net/themes/html/bolby/demo/images/works/6.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/works/6.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:01	2066/2066	---M-Z	200	added ('OK')	text/html	etag:%22812-5af06c0fb5a8a-gzip%22	https://jthemes.net/themes/html/bolby/demo/works-2.html	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/works-2.html	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:02	7570/7570	---M--	200	added ('OK')	image/svg+xml	etag:%221d92-5af06c35d75b1%22	https://jthemes.net/themes/html/bolby/demo/images/price-1.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/price-1.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:03	4044/4044	---M--	200	added ('OK')	image/svg+xml	etag:%22fcc-5af06c344adf4%22	https://jthemes.net/themes/html/bolby/demo/images/price-2.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/price-2.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
12:24:04	4474/4474	---M--	200	added ('OK')	image/svg+xml	etag:%22117a-5af06c33ed1f5%22	https://jthemes.net/themes/html/bolby/demo/images/price-3.svg	/Users/tinheo/websites/bolby%20template%20cv/jthemes.net/themes/html/bolby/demo/images/price-3.svg	(from https://jthemes.net/themes/html/bolby/demo/index-dark.html)
